id,parent_id,neutron_id,x,y,z,dx,dy,dz,toa,wavelength,parentName,px,py,pz,parentEnergy,nx,ny,nz,neutronEnergy,x [px],y [px],t [s],nPhotons [1],PSD value,t_relToExtTrigger [s],time_diff_ns,x3,y3,delta_x,delta_y,delta_r
4764,2,237,-1.08558,-31.7319,20,0.0186065,0.0270413,0.999461,553.682,413.763,proton,-35.7018,11.3406,10.7829,1.65915,-1.43625,-32.1942,2.0562,4.38721,29.73,217.88,5.515625e-07,5.0,1.5625e-09, nan,,46.0640625,-42.131249999999994,47.5003125,-9.937049999999992,48.52859621192598
256,2,237,-0.555273,-30.2373,20,0.0482433,0.109123,0.992857,555.556,429.995,proton,-35.7018,11.3406,10.7829,1.65915,-1.43625,-32.1942,2.0562,4.38721,29.73,217.88,5.515625e-07,5.0,1.5625e-09, nan,,46.0640625,-42.131249999999994,47.5003125,-9.937049999999992,48.52859621192598
953,2,242,20.1307,32.6985,20,0.0115589,-0.034906,0.999324,1129.46,455.0,proton,19.974,33.1736,6.4722,0.037725,13.3176,29.1507,15.5689,1.04336,30.04,218.27,1.1296875e-06,2.0,3.125e-09, nan,,45.91875,-42.314062500000006,32.601150000000004,-71.4647625,78.54964837925061
832,2,242,18.9719,32.8679,20,-0.0738425,-0.0224367,0.997017,1136.04,442.882,proton,19.974,33.1736,6.4722,0.037725,13.3176,29.1507,15.5689,1.04336,30.04,218.27,1.1296875e-06,2.0,3.125e-09, nan,,45.91875,-42.314062500000006,32.601150000000004,-71.4647625,78.54964837925061
268,2,244,-17.7753,56.9422,20,0.00538847,-0.122607,0.992441,771.336,417.885,proton,-17.8449,58.5797,6.7443,1.33658,-17.8604,58.5822,6.7313,2.2606,29.89,218.24,7.71875e-07,1.0,0.0, nan,,45.9890625,-42.300000000000004,63.8494625,-100.88220000000001,119.39000016072916
2698,2,247,11.9419,47.9698,20,-0.0179561,-0.0907194,0.995715,700.229,466.098,proton,-17.8449,58.5797,6.7443,0.0448867,24.8612,53.1721,9.41308,2.71103,176.73,101.62,7e-07,3.0,5.729166666667e-09, nan,0.22900000000004184,-22.842187499999994,12.365624999999998,-47.70338749999999,-40.806475000000006,62.775644806730426
2698,2,247,11.9419,47.9698,20,-0.0179561,-0.0907194,0.995715,700.229,466.098,proton,-17.8449,58.5797,6.7443,0.0448867,24.8612,53.1721,9.41308,2.71103,159.58,96.57,7e-07,1.0,0.0, nan,0.22900000000004184,-14.803125000000005,14.732812500000003,-39.664325000000005,-38.4392875,55.23438694521087
2698,2,247,11.9419,47.9698,20,-0.0179561,-0.0907194,0.995715,700.229,466.098,proton,-17.8449,58.5797,6.7443,0.0448867,24.8612,53.1721,9.41308,2.71103,178.27,100.64,7e-07,1.0,0.0, nan,0.22900000000004184,-23.564062500000006,12.825,-48.4252625,-40.3471,63.030901362775275
6147,2,247,12.0719,48.3252,20,-0.00543824,-0.0553815,0.99845,701.495,426.394,proton,-17.8449,58.5797,6.7443,0.0448867,24.8612,53.1721,9.41308,2.71103,29.8,218.14,7.015625e-07,2.0,2.34375e-09, nan,0.06749999999999545,46.03125,-42.253125,21.17005,-95.425225,97.7453046611607
1172,2,249,-16.3013,-35.6274,20,0.0751146,0.0866379,0.993404,420.421,479.752,proton,-17.0168,-36.4978,10.2931,5.72391,-17.0533,-36.4565,10.2615,7.5991,176.65,101.72,4.203125e-07,3.0,2.083333333333e-09, nan,0.10849999999999227,-22.804687500000004,12.318750000000001,-5.751387500000003,48.77525,49.11317003348141
336,2,249,-17.2239,-35.4722,20,-0.0181141,0.101365,0.994684,424.095,431.409,proton,-17.0168,-36.4978,10.2931,5.72391,-17.0533,-36.4565,10.2615,7.5991,96.39,214.22,4.234375e-07,1.0,0.0, nan,0.6575000000000273,14.8171875,-40.415625,31.8704875,-3.9591250000000002,32.115458026521765
2505,2,250,-12.2325,44.7655,20,0.01478,-0.0803989,0.996653,671.306,494.563,proton,-12.4817,46.248,1.55817,1.39402,-12.5128,46.2572,1.52382,2.95904,96.24,214.56,6.71875e-07,2.0,1.5625e-09, nan,0.56899999999996,14.887500000000003,-40.575,27.4003,-86.8322,91.05277259331535
1040,2,250,-12.4965,44.289,20,0.000465015,-0.105859,0.994381,676.681,442.689,proton,-12.4817,46.248,1.55817,1.39402,-12.5128,46.2572,1.52382,2.95904,94.77,216.96,6.765625e-07,1.0,0.0, nan,0.11850000000004002,15.576562500000001,-41.7,28.0893625,-87.9572,92.33353300668401
113,2,251,-7.45305,27.6229,20,0.0555236,-0.0887374,0.994506,524.656,452.993,C12,-8.38024,29.1043,3.39693,3.5849,-8.37983,29.1045,3.39529,4.88835,79.57,224.01,5.25e-07,1.0,0.0, nan,,22.7015625,-45.004687499999996,31.0813925,-74.10918749999999,80.36308002838872
780,2,254,-30.8872,45.2997,20,0.028276,-0.0681713,0.997273,453.208,444.604,C12,-25.8943,32.384,10.5631,1.56245,-31.4481,46.6326,1.21909,6.52117,107.75,55.45,4.53125e-07,7.0,1.339285714286e-09, nan,0.08300000000002683,9.4921875,34.0078125,40.9402875,-12.624787499999996,42.84264697708129
780,2,254,-30.8872,45.2997,20,0.028276,-0.0681713,0.997273,453.208,444.604,C12,-25.8943,32.384,10.5631,1.56245,-31.4481,46.6326,1.21909,6.52117,79.44,223.2,4.53125e-07,6.0,2.864583333333e-09, nan,0.08300000000002683,22.762500000000003,-44.62499999999999,54.2106,-91.2576,106.14489488486953
780,2,254,-30.8872,45.2997,20,0.028276,-0.0681713,0.997273,453.208,444.604,C12,-25.8943,32.384,10.5631,1.56245,-31.4481,46.6326,1.21909,6.52117,79.24,223.56,4.53125e-07,2.0,0.0, nan,0.08300000000002683,22.856250000000003,-44.79375,54.30435,-91.42635,106.33785733803836
780,2,254,-30.8872,45.2997,20,0.028276,-0.0681713,0.997273,453.208,444.604,C12,-25.8943,32.384,10.5631,1.56245,-31.4481,46.6326,1.21909,6.52117,108.59,56.87,4.53125e-07,1.0,0.0, nan,0.08300000000002683,9.0984375,33.342187499999994,40.5465375,-13.290412500000002,42.66915475679197
780,2,254,-30.8872,45.2997,20,0.028276,-0.0681713,0.997273,453.208,444.604,C12,-25.8943,32.384,10.5631,1.56245,-31.4481,46.6326,1.21909,6.52117,106.33,56.27,4.53125e-07,3.0,3.125e-09, nan,0.08300000000002683,10.1578125,33.623437499999994,41.6059125,-13.009162500000002,43.59231886363769
780,2,254,-30.8872,45.2997,20,0.028276,-0.0681713,0.997273,453.208,444.604,C12,-25.8943,32.384,10.5631,1.56245,-31.4481,46.6326,1.21909,6.52117,89.86,233.4,4.53125e-07,1.0,0.0, nan,0.08300000000002683,17.878125,-49.40625,49.326225,-96.03885,107.96544438880953
917,2,258,17.9584,15.5434,20,-0.0638597,0.0224811,0.997706,642.847,420.693,C12,47.4487,-51.4507,8.30647,0.256407,52.9114,8.3509,13.1229,3.22267,149.78,164.08,6.421875e-07,3.0,2.083333333333e-09, nan,0.65949999999998,-10.209375000000001,-16.912500000000005,-63.120775,-25.263400000000004,67.98876095473888
4146,2,258,17.4642,14.2908,20,-0.0898149,-0.0432798,0.995018,645.08,447.853,C12,47.4487,-51.4507,8.30647,0.256407,52.9114,8.3509,13.1229,3.22267,29.08,175.57,6.453125e-07,2.0,1.5625e-09, nan,0.23249999999995907,46.36875,-22.2984375,-6.542650000000002,-30.649337499999998,31.339881273090462
4146,2,258,17.4642,14.2908,20,-0.0898149,-0.0432798,0.995018,645.08,447.853,C12,47.4487,-51.4507,8.30647,0.256407,52.9114,8.3509,13.1229,3.22267,106.55,56.69,6.453125e-07,1.0,0.0, nan,0.23249999999995907,10.054687500000002,33.4265625,-42.8567125,25.075662500000004,49.653667096414566
3692,2,258,17.7341,13.9757,20,-0.0751713,-0.0601512,0.995355,646.233,470.697,C12,47.4487,-51.4507,8.30647,0.256407,52.9114,8.3509,13.1229,3.22267,149.48,163.23,6.46875e-07,1.0,0.0, nan,0.6420000000000528,-10.068749999999994,-16.514062499999994,-62.980149999999995,-24.864962499999994,67.71089760259352
70,4,258,52.1142,8.47175,20,-0.115158,0.017384,0.993195,651.779,425.66,proton,52.9115,8.35142,13.1235,0.256407,52.9114,8.3509,13.1229,3.22267,107.98,56.39,6.515625e-07,1.0,0.0, nan,0.21649999999999636,9.384374999999999,33.5671875,-43.527025,25.216287500000004,50.30370821950686
70,4,258,52.1142,8.47175,20,-0.115158,0.017384,0.993195,651.779,425.66,proton,52.9115,8.35142,13.1235,0.256407,52.9114,8.3509,13.1229,3.22267,107.46,54.78,6.515625e-07,1.0,0.0, nan,0.21649999999999636,9.628125000000002,34.321875,-43.283274999999996,25.970975,50.47705852341487
1241,3,261,-36.6462,38.7078,20,0.125027,-0.115331,0.985427,669.712,444.204,proton,45.3747,6.36955,11.8579,0.780451,-38.0678,40.0217,8.96145,2.9723,150.1,163.47,6.703125e-07,1.0,0.0, nan,0.6005000000000109,-10.359374999999996,-16.6265625,27.708425000000002,-56.6482625,63.06173530953245
2141,3,261,-37.7667,38.9009,20,0.0254706,-0.09922,0.994739,671.945,428.313,proton,45.3747,6.36955,11.8579,0.780451,-38.0678,40.0217,8.96145,2.9723,151.88,162.21,6.71875e-07,1.0,0.0, nan,0.07000000000005002,-11.193749999999998,-16.035937500000003,26.87405,-56.057637500000006,62.166496487126466
2109,3,261,-37.1305,39.2594,20,0.0843734,-0.0686201,0.994069,673.169,430.852,proton,45.3747,6.36955,11.8579,0.780451,-38.0678,40.0217,8.96145,2.9723,149.54,164.87,6.734375e-07,1.0,0.0, nan,0.2685000000000173,-10.096874999999997,-17.282812500000002,27.970925,-57.3045125,63.766604098213364
1158,2,264,33.4158,35.9329,20,-0.0243256,-0.125002,0.991858,893.939,478.302,proton,33.477,36.2787,17.2353,0.441728,33.4909,36.2874,17.208,1.66674,150.44,163.18,8.9375e-07,1.0,0.0, nan,0.18899999999996453,-10.518749999999999,-16.490625,-44.00965,-52.778025,68.719496622306
1158,2,264,33.4158,35.9329,20,-0.0243256,-0.125002,0.991858,893.939,478.302,proton,33.477,36.2787,17.2353,0.441728,33.4909,36.2874,17.208,1.66674,159.49,35.71,8.9375e-07,2.0,7.8125e-10, nan,0.18899999999996453,-14.760937500000004,43.2609375,-48.25183750000001,6.973537499999999,48.75315423016559
774,2,265,-54.8239,37.7968,20,0.132311,-0.118488,0.984101,717.621,422.613,proton,33.477,36.2787,17.2353,1.35159,-57.239,39.9712,2.02142,2.58622,113.67,192.24,7.171875e-07,2.0,0.0, nan,0.4334999999999809,6.7171875,-30.112500000000004,63.9561875,-70.08370000000001,94.87949686431287
1017,2,265,-54.8179,38.0868,20,0.132986,-0.102244,0.98583,718.508,422.935,proton,33.477,36.2787,17.2353,1.35159,-57.239,39.9712,2.02142,2.58622,73.01,177.48,7.1875e-07,1.0,0.0, nan,0.2419999999999618,25.776562499999997,-23.193749999999994,83.01556249999999,-63.16495,104.31392297145143
1954,2,266,-45.0434,-29.5868,20,0.0719594,0.0745923,0.994614,659.782,435.51,proton,-45.1753,-29.6678,18.6338,0.515345,-45.1453,-29.699,18.5376,3.05991,113.59,192.4,6.59375e-07,8.0,3.515625e-09, nan,,6.754687499999998,-30.187500000000004,51.899987499999995,-0.48850000000000193,51.90228641158456
2549,2,266,-45.0686,-29.6324,20,0.0575548,0.0414068,0.997483,660.164,439.365,proton,-45.1753,-29.6678,18.6338,0.515345,-45.1453,-29.699,18.5376,3.05991,113.59,192.4,6.59375e-07,8.0,3.515625e-09, nan,,6.754687499999998,-30.187500000000004,51.899987499999995,-0.48850000000000193,51.90228641158456
5562,2,266,-45.067,-29.585,20,0.0728959,0.0643682,0.99526,661.005,440.799,proton,-45.1753,-29.6678,18.6338,0.515345,-45.1453,-29.699,18.5376,3.05991,113.59,192.4,6.59375e-07,8.0,3.515625e-09, nan,,6.754687499999998,-30.187500000000004,51.899987499999995,-0.48850000000000193,51.90228641158456
340,2,266,-45.0832,-29.5556,20,0.0437322,0.0965377,0.994368,661.41,482.922,proton,-45.1753,-29.6678,18.6338,0.515345,-45.1453,-29.699,18.5376,3.05991,113.59,192.4,6.59375e-07,8.0,3.515625e-09, nan,,6.754687499999998,-30.187500000000004,51.899987499999995,-0.48850000000000193,51.90228641158456
3380,2,266,-45.0742,-29.5538,20,0.0648712,0.088385,0.993972,663.288,438.689,proton,-45.1753,-29.6678,18.6338,0.515345,-45.1453,-29.699,18.5376,3.05991,113.59,192.4,6.59375e-07,8.0,3.515625e-09, nan,,6.754687499999998,-30.187500000000004,51.899987499999995,-0.48850000000000193,51.90228641158456
4855,2,266,-45.021,-29.5404,20,0.0932105,0.102546,0.990351,663.298,437.93,proton,-45.1753,-29.6678,18.6338,0.515345,-45.1453,-29.699,18.5376,3.05991,113.59,192.4,6.59375e-07,8.0,3.515625e-09, nan,,6.754687499999998,-30.187500000000004,51.899987499999995,-0.48850000000000193,51.90228641158456
4225,2,266,-44.9565,-29.6284,20,0.141061,0.0393917,0.989217,664.172,485.289,proton,-45.1753,-29.6678,18.6338,0.515345,-45.1453,-29.699,18.5376,3.05991,113.59,192.4,6.59375e-07,8.0,3.515625e-09, nan,,6.754687499999998,-30.187500000000004,51.899987499999995,-0.48850000000000193,51.90228641158456
822,2,266,-45.0884,-29.586,20,0.0493046,0.0696064,0.996355,668.842,461.86,proton,-45.1753,-29.6678,18.6338,0.515345,-45.1453,-29.699,18.5376,3.05991,113.59,192.4,6.59375e-07,8.0,3.515625e-09, nan,,6.754687499999998,-30.187500000000004,51.899987499999995,-0.48850000000000193,51.90228641158456
21355,2,268,-40.8864,33.0907,20,0.0478155,-0.0560881,0.99728,375.685,421.321,C12,-7.84918,26.9661,18.0624,2.67361,-41.6357,33.5875,6.21422,9.52354,139.18,52.14,3.75e-07,9.0,2.604166666667e-09, nan,0.6850000000000023,-5.240625000000003,35.559375,36.395075,1.9718750000000043,36.448453674624524
21355,2,268,-40.8864,33.0907,20,0.0478155,-0.0560881,0.99728,375.685,421.321,C12,-7.84918,26.9661,18.0624,2.67361,-41.6357,33.5875,6.21422,9.52354,113.62,192.48,3.75e-07,6.0,4.427083333333e-09, nan,0.6850000000000023,6.740624999999998,-30.224999999999994,48.376324999999994,-63.81249999999999,80.07686293028482
5808,2,268,-40.8331,33.4089,20,0.0580745,-0.0130775,0.998227,376.691,460.358,C12,-7.84918,26.9661,18.0624,2.67361,-41.6357,33.5875,6.21422,9.52354,139.04,52.49,3.765625e-07,3.0,0.0, nan,0.12849999999997408,-5.174999999999996,35.395312499999996,36.4607,1.8078124999999972,36.50549041617105
5808,2,268,-40.8331,33.4089,20,0.0580745,-0.0130775,0.998227,376.691,460.358,C12,-7.84918,26.9661,18.0624,2.67361,-41.6357,33.5875,6.21422,9.52354,139.77,52.48,3.765625e-07,2.0,0.0, nan,0.12849999999997408,-5.517187500000005,35.400000000000006,36.118512499999994,1.812500000000007,36.163961362973716
1559,2,274,2.36379,2.27299,20,0.01804,-0.029164,0.999412,875.542,430.932,proton,-48.6759,38.7265,11.308,0.000145752,4.1182,33.8395,18.2712,1.74609,139.28,52.37,8.75e-07,2.0,1.5625e-09, nan,,-5.2875000000000005,35.451562499999994,-9.4057,1.6120624999999933,9.542847478290021
2012,2,274,2.25545,2.25915,20,0.00548337,-0.0307723,0.999511,878.799,451.18,proton,-48.6759,38.7265,11.308,0.000145752,4.1182,33.8395,18.2712,1.74609,139.28,52.37,8.75e-07,2.0,1.5625e-09, nan,,-5.2875000000000005,35.451562499999994,-9.4057,1.6120624999999933,9.542847478290021
1675,2,276,-34.7916,-54.4286,20,0.0241262,0.0919768,0.995469,422.016,449.256,proton,34.5702,-31.4209,3.51412,2.38734,-35.0724,-55.1493,12.5649,7.53938,139.54,52.46,4.21875e-07,11.0,1.988636363636e-09, nan,0.14100000000001955,-5.409374999999996,35.409375,29.663025000000005,90.558675,95.29306727095235
1675,2,276,-34.7916,-54.4286,20,0.0241262,0.0919768,0.995469,422.016,449.256,proton,34.5702,-31.4209,3.51412,2.38734,-35.0724,-55.1493,12.5649,7.53938,138.86,52.11,4.21875e-07,4.0,2.734375e-09, nan,0.14100000000001955,-5.090625000000006,35.5734375,29.981774999999995,90.7227375,95.54853181312902
1675,2,276,-34.7916,-54.4286,20,0.0241262,0.0919768,0.995469,422.016,449.256,proton,34.5702,-31.4209,3.51412,2.38734,-35.0724,-55.1493,12.5649,7.53938,138.86,53.05,4.21875e-07,2.0,2.34375e-09, nan,0.14100000000001955,-5.090625000000006,35.1328125,29.981774999999995,90.2821125,95.13026158701173
7350,2,276,-34.5925,-54.3286,20,0.0595505,0.108062,0.992359,423.84,448.749,proton,34.5702,-31.4209,3.51412,2.38734,-35.0724,-55.1493,12.5649,7.53938,137.18,54.51,4.234375e-07,1.0,0.0, nan,0.402499999999975,-4.303125000000003,34.448437500000004,30.769275,89.5977375,94.73385270928513
1723,2,281,53.2175,-42.8103,20,-0.09839,0.0607916,0.993289,840.854,446.689,proton,54.1187,-43.3627,10.943,0.120964,53.9216,-43.6351,11.0494,1.8778,138.9,52.9,8.40625e-07,2.0,7.8125e-10, nan,,-5.109375000000003,35.203125,-59.030975,78.838225,98.48919600951795
573,2,281,53.5995,-42.8328,20,-0.0564758,0.0586706,0.996679,841.644,420.911,proton,54.1187,-43.3627,10.943,0.120964,53.9216,-43.6351,11.0494,1.8778,138.9,52.9,8.40625e-07,2.0,7.8125e-10, nan,,-5.109375000000003,35.203125,-59.030975,78.838225,98.48919600951795
756,2,282,25.9396,-55.4077,20,-0.0838408,0.142537,0.986232,490.936,414.921,proton,54.1187,-43.3627,10.943,0.178898,25.967,-55.4486,19.3448,5.54723,139.58,52.6,4.90625e-07,7.0,1.5625e-09, nan,0.31100000000003547,-5.428125000000006,35.34375,-31.395125000000004,90.79235,96.06718842710097
756,2,282,25.9396,-55.4077,20,-0.0838408,0.142537,0.986232,490.936,414.921,proton,54.1187,-43.3627,10.943,0.178898,25.967,-55.4486,19.3448,5.54723,139.17,52.47,4.90625e-07,2.0,7.8125e-10, nan,0.31100000000003547,-5.235937499999994,35.4046875,-31.202937499999994,90.8532875,96.06218380916894
756,2,282,25.9396,-55.4077,20,-0.0838408,0.142537,0.986232,490.936,414.921,proton,54.1187,-43.3627,10.943,0.178898,25.967,-55.4486,19.3448,5.54723,138.4,54.05,4.90625e-07,1.0,0.0, nan,0.31100000000003547,-4.875000000000003,34.6640625,-30.842000000000002,90.1126625,95.24453216242341
841,2,282,25.9501,-55.4038,20,-0.0396235,0.0994863,0.99425,492.098,438.343,proton,54.1187,-43.3627,10.943,0.178898,25.967,-55.4486,19.3448,5.54723,60.73,31.28,4.921875e-07,4.0,2.734375e-09, nan,0.08949999999998681,31.532812500000006,45.3375,5.565812500000007,100.7861,100.93966624669986
841,2,282,25.9501,-55.4038,20,-0.0396235,0.0994863,0.99425,492.098,438.343,proton,54.1187,-43.3627,10.943,0.178898,25.967,-55.4486,19.3448,5.54723,60.07,32.63,4.921875e-07,1.0,0.0, nan,0.08949999999998681,31.8421875,44.704687500000006,5.875187500000003,100.1532875,100.32546449041646
841,2,282,25.9501,-55.4038,20,-0.0396235,0.0994863,0.99425,492.098,438.343,proton,54.1187,-43.3627,10.943,0.178898,25.967,-55.4486,19.3448,5.54723,138.34,51.07,4.921875e-07,1.0,0.0, nan,0.08949999999998681,-4.846875000000002,36.0609375,-30.813875,91.5095375,96.55822257052752
1735,2,287,53.2644,25.1668,20,-0.105597,-0.0833901,0.990906,590.132,442.054,C12,44.0331,-21.3896,4.38511,2.38779,53.8085,25.5987,14.9055,3.82613,64.65,117.43,5.90625e-07,1.0,0.0, nan,0.49300000000005184,29.695312499999996,4.954687499999997,-24.113187500000006,-20.644012500000002,31.74304748303655
1735,2,287,53.2644,25.1668,20,-0.105597,-0.0833901,0.990906,590.132,442.054,C12,44.0331,-21.3896,4.38511,2.38779,53.8085,25.5987,14.9055,3.82613,60.13,31.38,5.90625e-07,1.0,0.0, nan,0.49300000000005184,31.814062500000002,45.290625000000006,-21.9944375,19.691925000000005,29.521639370926394
1410,2,287,53.0433,25.5115,20,-0.148164,-0.0158301,0.988836,594.214,423.963,C12,44.0331,-21.3896,4.38511,2.38779,53.8085,25.5987,14.9055,3.82613,46.94,194.45,5.9375e-07,1.0,0.0, nan,0.4640000000000555,37.996875,-31.148437499999993,-15.811625,-56.747137499999994,58.908786268132616
11162,2,293,57.5159,19.415,20,-0.0655549,-0.00550256,0.997834,517.91,432.134,proton,53.7941,25.5661,14.9329,0.00902011,43.9465,-0.640887,18.7266,4.97555,230.17,130.96,5.171875e-07,4.0,3.125e-09, nan,0.7224999999999682,-47.89218749999999,-1.3875000000000037,-91.83868749999999,-0.7466130000000037,91.84172228728305
11162,2,293,57.5159,19.415,20,-0.0655549,-0.00550256,0.997834,517.91,432.134,proton,53.7941,25.5661,14.9329,0.00902011,43.9465,-0.640887,18.7266,4.97555,69.6,120.97,5.171875e-07,1.0,0.0, nan,0.7224999999999682,27.375000000000004,3.2953125000000005,-16.571499999999997,3.9361995000000007,17.03256524290455
9626,2,293,56.829,19.4276,20,-0.149121,-0.00446039,0.988809,518.678,412.249,proton,53.7941,25.5661,14.9329,0.00902011,43.9465,-0.640887,18.7266,4.97555,65.35,117.05,5.1875e-07,3.0,0.0, nan,0.07200000000000273,29.367187500000004,5.132812500000002,-14.579312499999997,5.773699500000002,15.680942538283738
9626,2,293,56.829,19.4276,20,-0.149121,-0.00446039,0.988809,518.678,412.249,proton,53.7941,25.5661,14.9329,0.00902011,43.9465,-0.640887,18.7266,4.97555,137.45,126.72,5.1875e-07,1.0,0.0, nan,0.07200000000000273,-4.429687499999995,0.6000000000000005,-48.37618749999999,1.2408870000000005,48.39209974346975
9626,2,293,56.829,19.4276,20,-0.149121,-0.00446039,0.988809,518.678,412.249,proton,53.7941,25.5661,14.9329,0.00902011,43.9465,-0.640887,18.7266,4.97555,65.42,117.48,5.1875e-07,2.0,2.34375e-09, nan,0.07200000000000273,29.334374999999998,4.931249999999999,-14.612125000000002,5.572136999999999,15.638507210165365
9626,2,293,56.829,19.4276,20,-0.149121,-0.00446039,0.988809,518.678,412.249,proton,53.7941,25.5661,14.9329,0.00902011,43.9465,-0.640887,18.7266,4.97555,230.82,131.48,5.1875e-07,1.0,0.0, nan,0.07200000000000273,-48.196875,-1.6312499999999952,-92.14337499999999,-0.9903629999999952,92.14869708933703
10127,2,293,56.8734,19.4422,20,-0.142305,-0.0020791,0.989821,520.288,413.043,proton,53.7941,25.5661,14.9329,0.00902011,43.9465,-0.640887,18.7266,4.97555,157.53,94.04,5.203125e-07,1.0,0.0, nan,0.024499999999989086,-13.842187500000001,15.918749999999998,-57.7886875,16.559637,60.114507238639376
10127,2,293,56.8734,19.4422,20,-0.142305,-0.0020791,0.989821,520.288,413.043,proton,53.7941,25.5661,14.9329,0.00902011,43.9465,-0.640887,18.7266,4.97555,139.21,128.06,5.203125e-07,2.0,5.46875e-09, nan,0.024499999999989086,-5.254687500000004,-0.028125000000001066,-49.2011875,0.6127619999999989,49.20500308585297
10127,2,293,56.8734,19.4422,20,-0.142305,-0.0020791,0.989821,520.288,413.043,proton,53.7941,25.5661,14.9329,0.00902011,43.9465,-0.640887,18.7266,4.97555,66.39,118.13,5.203125e-07,1.0,0.0, nan,0.024499999999989086,28.8796875,4.626562500000002,-15.066812500000001,5.267449500000002,15.961042044465849
2298,2,296,-49.5833,42.0048,20,0.0618699,-0.136347,0.988727,450.346,447.707,C12,-43.6329,41.374,15.7954,0.518839,-48.2508,46.5414,13.5237,6.59645,136.85,125.88,4.5e-07,2.0,7.8125e-10, nan,0.34600000000000364,-4.148437499999997,0.9937500000000021,44.1023625,-45.547650000000004,63.400369073089045
