x [px],y [px],t [s],nPhotons [1],PSD value,t_relToExtTrigger [s],neutron_id
209.92,24.32,5.140625e-07,2.0,0.0, nan,430
226.38,42.46,5.140625e-07,1.0,0.0, nan,430
96.51,56.54,5.140625e-07,3.0,2.604166666667e-09, nan,430
140.7,228.12,5.15625e-07,2.0,2.34375e-09, nan,430
172.64,49.92,5.1875e-07,1.0,0.0, nan,430
222.73,47.29,5.203125e-07,1.0,0.0, nan,430
164.33,114.16,4.109375e-07,6.0,3.90625e-09, nan,433
91.11,117.72,4.109375e-07,1.0,0.0, nan,433
225.22,208.08,9e-07,1.0,0.0, nan,434
225.24,207.98,5.1875e-07,12.0,1.953125e-09, nan,435
224.64,207.46,5.1875e-07,2.0,1.5625e-09, nan,435
225.17,207.99,4.375e-07,4.0,0.0, nan,437
225.29,208.14,1.153125e-06,2.0,1.5625e-09, nan,444
225.24,207.99,7.359375e-07,4.0,7.8125e-10, nan,446
26.44,232.82,4.09375e-07,7.0,1.5625e-09, nan,447
100.92,91.41,4.09375e-07,3.0,3.645833333333e-09, nan,447
225.24,207.93,4.109375e-07,1.0,0.0, nan,447
156.38,77.6,4.15625e-07,1.0,0.0, nan,447
100.35,91.39,4.65625e-07,11.0,1.988636363636e-09, nan,452
100.23,92.32,1.046875e-06,1.0,0.0, nan,457
143.56,110.67,3.921875e-07,8.0,3.3203125e-09, nan,462
142.99,110.71,3.9375e-07,3.0,0.0, nan,462
143.94,111.11,3.9375e-07,4.0,2.734375e-09, nan,462
148.55,106.68,3.9375e-07,1.0,0.0, nan,462
100.37,91.54,3.9375e-07,8.0,1.953125e-09, nan,462
100.79,91.29,3.9375e-07,2.0,7.8125e-10, nan,462
141.38,108.09,3.953125e-07,1.0,0.0, nan,462
96.62,96.25,3.953125e-07,1.0,0.0, nan,462
101.63,92.43,3.984375e-07,1.0,0.0, nan,462
143.7,110.54,4.53125e-07,11.0,1.988636363636e-09, nan,469
144.33,111.09,4.53125e-07,3.0,4.166666666667e-09, nan,469
138.15,105.74,4.546875e-07,1.0,0.0, nan,469
143.44,110.94,4.546875e-07,3.0,5.208333333333e-10, nan,469
142.77,110.01,4.546875e-07,2.0,7.8125e-10, nan,469
46.95,98.53,4.859375e-07,4.0,1.5625e-09, nan,470
144.24,110.45,4.875e-07,2.0,0.0, nan,470
46.99,98.58,5.96875e-07,2.0,3.125e-09, nan,471
221.71,92.12,6e-07,1.0,0.0, nan,471
39.43,168.38,7.703125e-07,1.0,0.0, nan,473
221.86,92.47,7.75e-07,2.0,7.8125e-10, nan,473
39.76,168.55,4.203125e-07,3.0,2.604166666667e-09, nan,474
158.28,195.03,6.53125e-07,3.0,1.5625e-09, nan,476
38.92,123.26,6.53125e-07,1.0,0.0, nan,476
